priority,phrase,product_context,source_url,observed_pain,likely_root,current_tool_fit,page_angle,next_action
1,"XLIFF translation file doesn't match the course",Rise 360,https://community.articulate.com/discussions/discuss/import-translated-xliff-in-duplicated-course-does-not-work/859120,"Translated file rejected after duplicate/course workflow","Course-state mismatch, edited course, changed IDs, file/content specificity","Diagnose structural drift; safe repair only for changed/missing IDs when order matches","Fix Rise 360 XLIFF translation file does not match the course","Build error-specific page and map result copy to repairable vs unsupported"
1,"Import failed: Translation file doesn't match this course",Rise 360,https://community.articulate.com/discussions/discuss/xlif-translation-did-not-import-in-articulate-rise/1022973,"Import fails after manual copy/paste or translated XLIFF workflow","Changed IDs, copied course state, format drift","Diagnose changed/missing IDs, count drift, version/namespace drift; repair narrow ID cases","Articulate Rise XLIFF translation file does not match this course","Add copy that explains course-copy mismatch is often diagnostic-only"
1,"Import failed: Check formatting or re-export translation",Rise 360,https://community.articulate.com/discussions/discuss/getting-import-failed-check-formatting-or-re-export-translation-when-trying-to-i/963876,"Operator cannot tell what formatting is wrong","Missing targets, inline tag drift, malformed XML, CAT tool output quirks","Diagnose missing target and inline/protected tag drift; no automatic text repair","Fix Rise 360 Check formatting or re-export translation","Create page around formatting/re-export error with upload CTA"
1,"I exported XLIFF, translated it in DeepL, and import gives an error",Rise 360,https://community.articulate.com/discussions/discuss/articulate-rise-360-translation/1217255,"Third-party translation output will not import","CAT/MT tool may alter IDs, version, target/state, or protected tags","Good diagnostic fit; repair only deterministic metadata issues","DeepL Articulate XLIFF import error checker","Collect DeepL/CAT output fixture after trial or user file"
2,"Import succeeds but nothing changes",Storyline/Rise,https://community.articulate.com/discussions/discuss/xlif-translation-did-not-import-in-articulate-rise/1022973,"Import appears successful but text remains original","Targets missing, targets same as source, translation placed in source, unsupported workflow","Partially covered via missing target; same-as-source detector needed","Articulate XLIFF imported but course text did not change","Add detector for target/source equality and untranslated target ratio"
2,"Translated XLIFF file import is stuck in processing",Rise 360,https://community.articulate.com/discussions/discuss/rise-translation-import-stuck-in-processing/995916,"Import hangs after upload","Could be unsupported language, large content, custom blocks, Articulate-side bug, or malformed file","Can rule out some file-level blockers; cannot fix platform bug","Rise XLIFF import stuck processing checker","Add 'file looks clean; Articulate-side/support path likely' report copy"
2,"XLIFF files containing custom blocks resulted in an error",Rise 360,https://community.articulate.com/discussions/discuss/error-translating-a-rise-course/1246701,"Known Rise issue around custom blocks/high lesson volume","Articulate-side product bug or content-specific import failure","Diagnostic only if file structure is clean; not repairable by file rewrite","Rise custom blocks XLIFF import error","Mark as platform-bug diagnostic angle, not paid repair"
2,"The translated file has source and target tags but import still errors",Rise 360,https://community.articulate.com/discussions/discuss/error-translating-a-rise-course/1246701,"User sees source/target but cannot evaluate correctness","Target metadata, protected tags, segmentation, IDs, course-state mismatch","Diagnose inline drift, missing target, IDs; add CAT metadata heuristics","Check Articulate XLIFF source target segments","Add detector/report language for target state and source/target ratios"
2,"DeepL XLIFF 2.1 edited to 1.2 gets further but then mismatches",Rise 360,https://community.articulate.com/discussions/discuss/export-to-xliff-2-0-file-in-rise/929830/replies/1229119,"User tries to force version compatibility manually","Wrong XLIFF version, invalid manual version edit, course mismatch","Detect unsupported version and namespace/version drift","Articulate XLIFF 2.0 2.1 import error","Create page explaining version mismatch vs safe repair"
3,"Malformed XLF causes only one scene to translate",Storyline 360,https://community.articulate.com/discussions/discuss/when-importing-a-translated-xliff-file-an-error-happens-and-only-one-scene-gets-/790015,"Partial import or crash-like Storyline behavior","Malformed XML, broken segment after first scene, protected tags","Detect malformed XML and inline drift; no safe repair for content changes","Storyline XLIFF partial import only one scene translated","Need Storyline-specific fixture and report copy"
3,"Wrong file format / requesting re-import",Rise 360,https://community.articulate.com/discussions/discuss/articulate-rise-360-translation/1217255,"Import rejects file as wrong format","Wrong wrapper, wrong extension, unsupported version, malformed XML","Detect wrong wrapper, wrong extension, unsupported version, malformed XML","Rise XLIFF wrong file format import error","Use current unsupported classes in page FAQ"
3,"XLF import says successful but remains English",Storyline 360,https://community.articulate.com/discussions/discuss/imported-translated-xliff-file-doesnt-change-anything/814013,"Successful import gives no visible translation","Targets missing/same as source, translated source not target, workflow mismatch","Partially covered; needs same-as-source/untranslated target detector","Storyline XLIFF import successful but language unchanged","Add detector and build Storyline-specific page only after fixture"
